"","TL","DemersPelag","DepthRangeShallow","DepthRangeDeep","Length","BodyShapeI"
"Agonopsis vulsa",NA,"demersal","0","163","20","elongated"
"Albatrossia pectoralis","4.3","bathydemersal","140","3500","210","elongated"
"Alepocephalus tenebrosus",NA,"bathydemersal","46","5500","61","elongated"
"Allosmerus elongatus",NA,"demersal","1","103","22.9","elongated"
"Alosa sapidissima","3.48","pelagic-neritic","0","250","76","fusiform / normal"
"Anarrhichthys ocellatus",NA,"demersal","1","226","240","elongated"
"Anoplogaster cornuta",NA,"bathypelagic","2","4992","18","short and / or deep"
"Anoplopoma fimbria","3.84","bathydemersal","175","2740","120","fusiform / normal"
"Antimora microlepis",NA,"bathypelagic","175","3048","75","fusiform / normal"
"Apristurus brunneus","3.58","demersal","33","1306","69","elongated"
"Apristurus kampae",NA,"bathydemersal",NA,"1888","58.4","elongated"
"Argentina sialis",NA,"demersal","11","325","22","elongated"
"Argyropelecus affinis",NA,"bathypelagic","1","3872","8.4","short and / or deep"
"Aristostomias scintillans",NA,"bathypelagic","0","1219","23","elongated"
"Atheresthes stomias","4.17","demersal","18","950","84","short and / or deep"
"Avocettina infans",NA,"bathypelagic","785","4580","80","eel-like"
"Bathyagonus nigripinnis",NA,"demersal","18","1290","24.2","elongated"
"Bathyagonus pentacanthus",NA,"demersal","110","910","23","elongated"
"Bathylagus pacificus",NA,"bathypelagic","600","7700","25","fusiform / normal"
"Bathyraja abyssicola",NA,"bathydemersal","362","2910","157","other"
"Bathyraja trachura",NA,"bathydemersal","213","2550","91","other"
"Benthalbella dentata",NA,"bathypelagic","98","3400","26.2","elongated"
"Bothrocara brunneum","3.61","bathydemersal","129","2570","74","eel-like"
"Bothrocara molle",NA,"bathydemersal","60","2688","56","eel-like"
"Careproctus cypselurus",NA,"bathydemersal","35","1775","32.3","elongated"
"Careproctus gilberti",NA,"bathydemersal","73","886","8.9",NA
"Careproctus melanurus",NA,"bathydemersal","89","2286","54","fusiform / normal"
"Cataetyx rubrirostris",NA,"bathydemersal","300","1000","15.7","elongated"
"Caulophryne jordani",NA,"bathypelagic","100","1510","11","short and / or deep"
"Cephaloscyllium ventriosum",NA,"demersal","5","457","110","elongated"
"Chauliodus macouni","4.5","bathypelagic","25","4390","29.3","elongated"
"Chesnonia verrucosa",NA,"demersal","18","425","20","elongated"
"Chiasmodon niger",NA,"pelagic-oceanic","700","2745","25","elongated"
"Chilara taylori",NA,"demersal","0","280","40.4","eel-like"
"Chitonotus pugetensis",NA,"demersal","0","142","23","elongated"
"Citharichthys sordidus","3.46","demersal","0","549","41","fusiform / normal"
"Citharichthys xanthostigma",NA,"demersal","2","201","25","short and / or deep"
"Coryphaenoides acrolepis",NA,"bathydemersal","300","3700","104","elongated"
"Cymatogaster aggregata",NA,"demersal","1","146","20.3","short and / or deep"
"Elassodiscus caudatus",NA,"bathydemersal","335","1040","8.5",NA
"Embassichthys bathybius",NA,"bathydemersal","41","1800","47","short and / or deep"
